N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,67400.0,100.0,+0.15%,100.0,66800.0,67500.0,66700.0
2.0,LG에너지솔루션,410000.0,10000.0,+2.50%,500.0,397000.0,413000.0,397000.0
3.0,SK하이닉스,121000.0,1900.0,+1.60%,5000.0,119100.0,121700.0,118700.0
4.0,삼성바이오로직스,722000.0,1000.0,-0.14%,2500.0,720000.0,727000.0,718000.0
5.0,삼성전자우,53600.0,0.0,0.00%,100.0,53600.0,54000.0,53000.0
6.0,현대차,174000.0,1600.0,-0.91%,5000.0,175000.0,176300.0,173800.0
7.0,POSCO홀딩스,426500.0,3500.0,+0.83%,5000.0,417500.0,429500.0,416500.0
8.0,LG화학,445500.0,7000.0,+1.60%,5000.0,429500.0,451500.0,427500.0
9.0,삼성SDI,455500.0,3500.0,+0.77%,5000.0,439000.0,459000.0,439000.0
10.0,기아,77900.0,1800.0,-2.26%,5000.0,79500.0,80100.0,77600.0
11.0,NAVER,186500.0,1100.0,+0.59%,100.0,184100.0,187000.0,183000.0
12.0,셀트리온,149500.0,0.0,0.00%,1000.0,149200.0,150300.0,149100.0
13.0,KB금융,50800.0,1700.0,-3.24%,5000.0,51700.0,52100.0,50400.0
14.0,현대모비스,211000.0,9000.0,-4.09%,5000.0,220000.0,221500.0,211000.0
15.0,포스코퓨처엠,256000.0,4500.0,+1.79%,500.0,247500.0,257500.0,247000.0
16.0,삼성물산,104800.0,1200.0,+1.16%,100.0,103600.0,105200.0,103600.0
17.0,신한지주,33800.0,1200.0,-3.43%,5000.0,34900.0,35100.0,33650.0
18.0,LG전자,104000.0,2400.0,+2.36%,5000.0,101600.0,104200.0,101600.0
19.0,카카오,38050.0,300.0,+0.79%,100.0,37650.0,38400.0,37600.0
20.0,삼성생명,71600.0,200.0,+0.28%,500.0,71400.0,72700.0,70800.0
21.0,SK이노베이션,125100.0,800.0,+0.64%,5000.0,123300.0,125700.0,122900.0
22.0,삼성화재,254000.0,3000.0,+1.20%,500.0,250500.0,254500.0,247500.0
23.0,LG,76400.0,1000.0,-1.29%,5000.0,76700.0,77000.0,75300.0
24.0,하나금융지주,39300.0,1900.0,-4.61%,5000.0,40600.0,41000.0,39200.0
25.0,KT&G,85600.0,900.0,-1.04%,5000.0,86100.0,86900.0,85100.0
26.0,SK텔레콤,49700.0,200.0,+0.40%,100.0,49600.0,49850.0,49400.0
27.0,한국전력,16760.0,120.0,+0.72%,5000.0,16620.0,16800.0,16570.0
28.0,삼성에스디에스,138600.0,2600.0,+1.91%,500.0,135400.0,139700.0,134300.0
29.0,SK,142100.0,2600.0,+1.86%,200.0,139000.0,142700.0,139000.0
30.0,메리츠금융지주,49600.0,100.0,-0.20%,500.0,49500.0,49700.0,48700.0
31.0,고려아연,486500.0,20500.0,+4.40%,5000.0,466000.0,494000.0,465500.0
32.0,HD현대중공업,107800.0,2200.0,-2.00%,5000.0,111000.0,111100.0,107800.0
33.0,삼성전기,127600.0,4500.0,+3.66%,5000.0,123000.0,128700.0,122500.0
34.0,포스코인터내셔널,53600.0,100.0,+0.19%,5000.0,52800.0,53900.0,52300.0
